luminosidadBaja;bpmBaja;luminosidadMedia;bpmMedia;luminosidadAlta;bpmAlta
234;75;451;37;621;42
292;75;452;34;621;42
372;46;452;128;621;47
405;68;453;34;622;42
443;128;454;33;622;51
443;128;457;27;622;53
443;128;457;28;622;56
444;31;457;31;624;50
444;106;457;37;626;60
445;31;458;27;626;60
445;31;458;29;626;60
445;31;458;29;627;31
445;99;458;33;629;61
446;37;458;71;630;38
447;35;458;96;631;60
447;35;460;37;632;45
447;35;460;37;633;45
447;37;460;38;633;45
447;37;461;37;634;37
447;37;461;62;634;47
448;35;462;62;634;61
448;37;462;73;634;67
448;37;463;62;634;67
449;38;463;63;635;43
449;38;463;63;635;48
450;71;464;36;635;67
;;464;36;636;42
;;464;36;636;67
;;465;28;638;48
;;465;60;646;59
;;465;72;648;31
;;466;55;654;75
;;466;72;656;53
;;467;64;656;54
;;468;51;656;54
;;468;64;657;53
;;468;64;658;52
;;469;64;658;53
;;470;47;659;51
;;471;50;659;52
;;473;72;661;50
;;474;48;663;51
;;478;48;664;50
;;480;68;665;51
;;534;62;668;51
;;539;62;679;50
;;549;67;684;53
;;561;59;684;70
;;575;75;688;52
;;579;64;689;52
;;580;56;690;59
;;580;57;691;59
;;580;57;692;59
;;581;57;693;60
;;582;57;694;60
;;585;75;695;64
;;591;64;697;64
;;610;53;705;54
;;611;53;706;70
;;615;43;708;96
;;616;36;710;51
;;616;38;711;96
;;616;38;725;40
;;616;59;725;40
;;616;65;725;41
;;616;74;725;60
;;616;74;725;88
;;616;74;726;40
;;616;86;726;46
;;617;36;726;46
;;617;37;726;46
;;617;39;726;49
;;617;43;726;49
;;617;43;726;50
;;617;48;726;51
;;617;53;726;51
;;617;54;726;52
;;617;56;726;52
;;617;56;726;52
;;617;59;726;56
;;617;65;726;56
;;617;65;726;56
;;617;86;726;56
;;617;86;726;56
;;618;36;726;56
;;618;37;726;56
;;618;37;726;56
;;618;39;726;60
;;618;43;726;61
;;618;48;726;61
;;618;48;726;61
;;618;52;726;62
;;618;52;726;62
;;618;54;726;62
;;618;59;726;63
;;619;38;726;69
;;619;47;726;72
;;619;51;726;72
;;619;51;727;40
;;620;39;727;63
;;620;43;727;69
;;620;43;728;31
;;620;43;728;56
;;620;43;728;63
;;620;43;728;96
;;620;47;729;56
;;620;47;729;63
;;620;51;731;54
;;;;732;54
;;;;732;54
;;;;732;97
;;;;737;40
;;;;738;40
;;;;738;40
;;;;739;28
;;;;739;31
;;;;739;40
;;;;739;40
;;;;739;41
;;;;739;45
;;;;740;40
;;;;740;43
;;;;740;134
;;;;741;28
;;;;741;28
;;;;741;43
;;;;741;45
;;;;741;56
;;;;741;61
;;;;741;62
;;;;741;129
;;;;742;28
;;;;742;43
;;;;742;51
;;;;742;51
;;;;742;51
;;;;742;51
;;;;742;60
;;;;742;60
;;;;742;61
;;;;742;63
;;;;742;63
;;;;742;63
;;;;742;63
;;;;743;34
;;;;743;34
;;;;743;43
